word	rank
star	1308
Phyllis	1309
Mac	1310
breathe	1311
perfectly	1312
warm	1313
pulled	1314
Maria	1315
twice	1316
easier	1317
killer	1318
goin '	1319
dating	1320
suit	1321
romantic	1322
drugs	1323
comfortable	1324
Isaac	1325
powers	1326
finds	1327
checked	1328
fit	1329
divorce	1330
begin	1331
ourselves	1332
closer	1333
ruin	1334
although	1335
smile	1336
laugh	1337
fish	1338
Abigail	1339
treat	1340
god 's	1341
fear	1342
Anna	1343
what'd	1344
Simone	1345
Amber	1346
guy 's	1347
otherwise	1348
excited	1349
mail	1350
hiding	1351
cost	1352
green	1353
stole	1354
Pacey	1355
noticed	1356
Liza	1357
fired	1358
Daphne	1359
Whitney	1360
excellent	1361
lived	1362
bringing	1363
pop	1364
piper	1365
bottom	1366
note	1367
sudden	1368
church	1369
bathroom	1370
flight	1371
chad	1372
la	1373
honestly	1374
sing	1375
Katie	1376
foot	1377
games	1378
glass	1379
N .	1380
Mitch	1381
remind	1382
bank	1383
Rory	1384
charges	1385
witness	1386
finding	1387
places	1388
tree	1389
dare	1390
hardly	1391
that'll	1392
U .	1393
interest	1394
steal	1395
princess	1396
silly	1397
contact	1398
teach	1399
shop	1400
plus	1401
colonel	1402
fresh	1403
trial	1404
invited	1405
roll	1406
radio	1407
art	1408
reach	1409
heh	1410
dirty	1411
choose	1412
emergency	1413
dropped	1414
butt	1415
credit	1416
obvious	1417
cry	1418
locked	1419
Larry	1420
loving	1421
positive	1422
nuts	1423
agreed	1424
Prue	1425
price	1426
goodbye	1427
condition	1428
guard	1429
fuckin '	1430
grow	1431
cake	1432
mood	1433
dad 's	1434
Bianca	1435
total	1436
crap	1437
crying	1438
Paige	1439
k	1440
belong	1441
lay	1442
partner	1443
trick	1444
pressure	1445
ohh	1446
arm	1447
dressed	1448
cup	1449
lies	1450
bus	1451
taste	1452
neck	1453
south	1454
something 's	1455
nurse	1456
raise	1457
land	1458
cross	1459
lots	1460
mister	1461
carry	1462
group	1463
whoever	1464
Eddie	1465
drinking	1466
they'd	1467
breaking	1468
file	1469
lock	1470
computer	1471
yo	1472
Rebecca	1473
wine	1474
closed	1475
writing	1476
spot	1477
paying	1478
study	1479
assume	1480
asleep	1481
man 's	1482
turning	1483
legal	1484
justice	1485
Viki	1486
Chandler	1487
bedroom	1488
shower	1489
Nikolas	1490
camera	1491
fill	1492
reasons	1493
forty	1494
bigger	1495
nope	1496
keys	1497
Starr	1498
breath	1499
doctors	1500
pants	1501
freak	1502
level	1503
French	1504
movies	1505
gee	1506
Monica	1507
action	1508
area	1509
folks	1510
Steve	1511
cream	1512
ugh	1513
continue	1514
focus	1515
wild	1516
truly	1517
jill	1518
desk	1519
convince	1520
client	1521
threw	1522
Taylor	1523
band	1524
hurts	1525
Charles	1526
spending	1527
Neil	1528
field	1529
allow	1530
grand	1531
answers	1532
shirt	1533
chair	1534
christ	1535
allowed	1536
rough	1537
doin	1538
sees	1539
government	1540
Harry	1541
ought	1542
empty	1543
round	1544
lights	1545
insane	1546
hall	1547
hat	1548
bastard	1549
wind	1550
shows	1551
aware	1552
dealing	1553
pack	1554
meaning	1555
flowers	1556
tight	1557
hurting	1558
ship	1559
subject	1560
guest	1561
mom 's	1562
chicken	1563
pal	1564
match	1565
Elaine	1566
arrested	1567
sun	1568
Rachel	1569
Salem	1570
confused	1571
surgery	1572
expecting	1573
deacon	1574
Colleen	1575
unfortunately	1576
goddamn	1577
lab	1578
passed	1579
bottle	1580
beyond	1581
whenever	1582
pool	1583
opinion	1584
naked	1585
held	1586
common	1587
starts	1588
jerk	1589
secrets	1590
falling	1591
played	1592
necessary	1593
barely	1594
dancing	1595
health	1596
tests	1597
copy	1598
Keri	1599
video	1600
cousin	1601
planned	1602
Vanessa	1603
dry	1604
ahem	1605
twelve	1606
simply	1607
Tess	1608
Scott	1609
skin	1610
often	1611
English	1612
fifteen	1613
spirit	1614
speech	1615
names	1616
issue	1617
orders	1618
nah	1619
final	1620
Michelle	1621
America	1622
St .	1623
results	1624
code	1625
Ned	1626
Bonnie	1627
W .	1628
believed	1629
complicated	1630
umm	1631
research	1632
nowhere	1633
escape	1634
biggest	1635
restaurant	1636
page	1637
grateful	1638
usual	1639
burn	1640
Chicago	1641
Austin	1642
address	1643
within	1644
someplace	1645
screw	1646
everywhere	1647
train	1648
film	1649
regret	1650
goodness	1651
mistakes	1652
heaven	1653
details	1654
responsibility	1655
suspect	1656
corner	1657
hero	1658
dumb	1659
terrific	1660
Peter	1661
mission	1662
further	1663
Amy	1664
gas	1665
whoo	1666
hole	1667
memories	1668
o'clock	1669
Brian	1670
truck	1671
following	1672
ended	1673
nobody 's	1674
Margo	1675
teeth	1676
ruined	1677
Hank	1678
split	1679
Reva	1680
bear	1681
airport	1682
bite	1683
smoke	1684
Stenbeck	1685
older	1686
liar	1687
horse	1688
Gwen	1689
showing	1690
van	1691
project	1692
cards	1693
desperate	1694
themselves	1695
search	1696
pathetic	1697
damage	1698
spoke	1699
quickly	1700
scare	1701
Marah	1702
G .	1703
beach	1704
Mia	1705
brown	1706
afford	1707
vote	1708
settle	1709
gold	1710
re	1711
mentioned	1712
ed	1713
due	1714
passion	1715
Y	1716
stayed	1717
rule	1718
Friday	1719
checking	1720
tie	1721
hired	1722
upon	1723
rush	1724
Tad	1725
heads	1726
concern	1727
blew	1728
natural	1729
Alcazar	1730
Kramer	1731
champagne	1732
connection	1733
tickets	1734
Kate	1735
finger	1736
happiness	1737
form	1738
saving	1739
kissing	1740
Martin	1741
hated	1742
personally	1743
suggest	1744
prepared	1745
build	1746
leg	1747
onto	1748
leaves	1749
downstairs	1750
ticket	1751
it'd	1752
taught	1753
loose	1754
holy	1755
staff	1756
sea	1757
Asa	1758
planet	1759
duty	1760
convinced	1761
throwing	1762
defense	1763
Harvey	1764
kissed	1765
legs	1766
Dave	1767
according	1768
loud	1769
practice	1770
Andy	1771
Jess	1772
Saturday	1773
Colin	1774
bright	1775
Amanda	1776
Fraser	1777
F .	1778
babies	1779
army	1780
where'd	1781
warning	1782
miracle	1783
carrying	1784
flying	1785
Caleb	1786
blind	1787
queen	1788
ugly	1789
shopping	1790
hates	1791
someone 's	1792
Seth	1793
monster	1794
sight	1795
vampire	1796
Rosanna	1797
bride	1798
coat	1799
account	1800
states	1801
clearly	1802
celebrate	1803
Nicole	1804
brilliant	1805
wanting	1806
Allison	1807
add	1808
moon	1809
Forrester	1810
lips	1811
custody	1812
center	1813
screwed	1814
buying	1815
size	1816
toast	1817
thoughts	1818
Isabella	1819
student	1820
stories	1821
however	1822
professional	1823
stars	1824
reality	1825
Jimmy	1826
birth	1827
Lexie	1828
attitude	1829
advantage	1830
grandfather	1831
Sami	1832
sold	1833
opened	1834
Lily	1835
grandma	1836
beg	1837
Edward	1838
changes	1839
Diego	1840
Cole	1841
someday	1842
grade	1843
cheese	1844
roof	1845
Kenny	1846
bobby	1847
pizza	1848
brothers	1849
X	1850
signed	1851
bird	1852
ahh	1853
marrying	1854
powerful	1855
grown	1856
grandmother	1857
fake	1858
opening	1859
Sally	1860
Stephanie	1861
expected	1862
eventually	1863
must've	1864
ideas	1865
exciting	1866
covered	1867
Parker	1868
de	1869
familiar	1870
bomb	1871
bout	1872
television	1873
harmony	1874
color	1875
heavy	1876
schedule	1877
records	1878
H .	1879
dollar	1880
capable	1881
master	1882
numbers	1883
Toby	1884
practically	1885
including	1886
correct	1887
clue	1888
forgotten	1889
immediately	1890
appointment	1891
social	1892
nature	1893
ú	1894
deserves	1895
west	1896
Blake	1897
teacher	1898
threat	1899
Frankie	1900
bloody	1901
lonely	1902
Kelly	1903
ordered	1904
shame	1905
Brittany	1906
local	1907
jacket	1908
hook	1909
destroyed	1910
scary	1911
loser	1912
investigation	1913
above	1914
Jamal	1915
invite	1916
shooting	1917
merry	1918
port	1919
precious	1920
lesson	1921
Roy	1922
criminal	1923
growing	1924
caused	1925
victim	1926
professor	1927
followed	1928
funeral	1929
nothing 's	1930
dean	1931
considering	1932
burning	1933
couch	1934
strength	1935
harder	1936
loss	1937
view	1938
Gia	1939
beauty	1940
sisters	1941
everybody 's	1942
several	1943
pushed	1944
Nicholas	1945
written	1946
somebody 's	1947
shock	1948
pushing	1949
heat	1950
chocolate	1951
greatest	1952
Holden	1953
miserable	1954
Corinthos	1955
nightmare	1956
energy	1957
brings	1958
Zander	1959
character	1960
became	1961
famous	1962
enemy	1963
crash	1964
chances	1965
sending	1966
recognize	1967
healthy	1968
boring	1969
feed	1970
engaged	1971
Sarah	1972
percent	1973
headed	1974
Brandon	1975
lines	1976
treated	1977
purpose	1978
north	1979
knife	1980
rights	1981
drag	1982
San	1983
fan	1984
badly	1985
speed	1986
Santa	1987
hire	1988
curious	1989
paint	1990
pardon	1991
Jackson	1992
built	1993
behavior	1994
closet	1995
candy	1996
Helena	1997
warn	1998
gorgeous	1999
post	2000
milk	2001
survive	2002
forced	2003
daria	2004
victoria	2005
operation	2006
suck	2007
offered	2008
hm	2009
ends	2010
dump	2011
rent	2012
marshall	2013
remembered	2014
lieutenant	2015
trade	2016
thanksgiving	2017
rain	2018
revenge	2019
physical	2020
available	2021
program	2022
prefer	2023
baby's	2024
spare	2025
pray	2026
disappeared	2027
aside	2028
statement	2029
sometime	2030
animal	2031
sugar	2032
Ricky	2033
meat	2034
fantastic	2035
breathing	2036
laughing	2037
itself	2038
tip	2039
stood	2040
market	2041
Raul	2042
affair	2043
Stephen	2044
ours	2045
depends	2046
cook	2047
babe	2048
main	2049
woods	2050
protecting	2051
jury	2052
Harley	2053
national	2054
brave	2055
storm	2056
large	2057
prince	2058
Jack 's	2059
interview	2060
Daniel	2061
roger	2062
football	2063
fingers	2064
murdered	2065
Stan	2066
sexy	2067
Julia	2068
explanation	2069
da	2070
process	2071
picking	2072
based	2073
style	2074
stone	2075
pieces	2076
blah	2077
assistant	2078
stronger	2079
block	2080
aah	2081
Newman	2082
bullshit	2083
pie	2084
handsome	2085
unbelievable	2086
anytime	2087
nearly	2088
Maureen	2089
shake	2090
everyone 's	2091
Oakdale	2092
cars	2093
wherever	2094
serve	2095
pulling	2096
points	2097
medicine	2098
facts	2099
waited	2100
Pete	2101
lousy	2102
circumstances	2103
stage	2104
Lucas	2105
disappointed	2106
weak	2107
trusted	2108
license	2109
nothin	2110
community	2111
trey	2112
Jan	2113
trash	2114
understanding	2115
slip	2116
cab	2117
Abby	2118
sounded	2119
awake	2120
friendship	2121
stomach	2122
weapon	2123
threatened	2124
Don	2125
mystery	2126
Sean	2127
official	2128
Lee	2129
dick	2130
regular	2131
Donna	2132
river	2133
Malcolm	2134
Vegas	2135
valley	2136
understood	2137
contract	2138
bud	2139
sexual	2140
race	2141
basically	2142
switch	2143
lake	2144
frankly	2145
issues	2146
cheap	2147
lifetime	2148
deny	2149
painting	2150
ear	2151
clock	2152
Baldwin	2153
weight	2154
garbage	2155
why'd	2156
tear	2157
ears	2158
dig	2159
bullet	2160
selling	2161
setting	2162
indeed	2163
gus	2164
changing	2165
singing	2166
tiny	2167
particular	2168
draw	2169
decent	2170
Susan	2171
super	2172
spring	2173
santos	2174
avoid	2175
messed	2176
united	2177
filled	2178
touched	2179
score	2180
people's	2181
disappear	2182
stranger	2183
exact	2184
pills	2185
kicked	2186
harm	2187
recently	2188
ma	2189
snow	2190
fortune	2191
strike	2192
pretending	2193
raised	2194
annie	2195
slayer	2196
monkey	2197
insurance	2198
fancy	2199
Sydney	2200
drove	2201
cared	2202
belongs	2203
nights	2204
shape	2205
dogs	2206
Lorelai	2207
Jackie	2208
base	2209
Maggie	2210
lift	2211
Lewis	2212
stock	2213
Sonny 's	2214
fashion	2215
freedom	2216
timing	2217
Johnny	2218
guarantee	2219
chest	2220
bridge	2221
woke	2222
Tabitha	2223
source	2224
patients	2225
theory	2226
lisa	2227
camp	2228
original	2229
juice	2230
burned	2231
access	2232
watched	2233
heading	2234
selfish	2235
oil	2236
drinks	2237
wise	2238
Morgan	2239
Ashley	2240
failed	2241
period	2242
doll	2243
committed	2244
elevator	2245
freeze	2246
noise	2247
exist	2248
science	2249
pair	2250
edge	2251
wasting	2252
sat	2253
player	2254
ceremony	2255
cartman	2256
pig	2257
uncomfortable	2258
Ted	2259
peg	2260
guns	2261
vacation	2262
staring	2263
files	2264
bike	2265
weather	2266
name 's	2267
mostly	2268
stress	2269
Kristina	2270
sucks	2271
permission	2272
arrived	2273
thrown	2274
possibility	2275
faster	2276
example	2277
borrow	2278
Casey	2279
release	2280
ate	2281
notes	2282
joy	2283
hoo	2284
library	2285
junior	2286
property	2287
negative	2288
fabulous	2289
event	2290
doors	2291
screaming	2292
vision	2293
Nancy	2294
member	2295
bone	2296
battle	2297
Xander	2298
Giles	2299
safety	2300
term	2301
devil	2302
what 're	2303
meal	2304
fellow	2305
asshole	2306
apology	2307
anger	2308
honeymoon	2309
wet	2310
bail	2311
parking	2312
fucked	2313
non	2314
hung	2315
protection	2316
manager	2317
fixed	2318
families	2319
dawn	2320
sports	2321
Chinese	2322
campaign	2323
map	2324
wash	2325
stolen	2326
sensitive	2327
stealing	2328
photo	2329
chose	2330
Russell	2331
lets	2332
comfort	2333
worrying	2334
whom	2335
pocket	2336
Mateo	2337
bleeding	2338
students	2339
shoulder	2340
ignore	2341
fourth	2342
neighborhood	2343
FBI	2344
talent	2345
Spaulding	2346
Carmen	2347
tied	2348
garage	2349
dies	2350
demons	2351
travel	2352
Diana	2353
success	2354
dumped	2355
witches	2356
training	2357
rude	2358
crack	2359
model	2360
bothering	2361
radar	2362
grew	2363
willow	2364
remain	2365
soft	2366
meantime	2367
gimme	2368
connected	2369
chase	2370
kinds	2371
cast	2372
cancer	2373
Abe	2374
v	2375
sky	2376
likely	2377
Laurence	2378
fate	2379
buried	2380
hug	2381
brother 's	2382
driver	2383
concentrate	2384
throat	2385
prom	2386
messages	2387
east	2388
unit	2389
intend	2390
Hayward	2391
Dan	2392
crew	2393
ashamed	2394
somethin	2395
midnight	2396
manage	2397
guilt	2398
weapons	2399
terms	2400
interrupt	2401
guts	2402
tongue	2403
distance	2404
conference	2405
treatment	2406
shoe	2407
